2026-06-23 12:20:11,968 | INFO | data_ingestion | Starting CSV ingestion from D:\Mutual_fund\mutual_fund_project\data\raw
2026-06-24 09:06:05,359 | INFO | data_ingestion | Anomaly scan for 119551_sbi_bluechip.csv: ['no obvious anomalies detected']
2026-06-24 09:06:05,359 | INFO | data_ingestion | Processed 119551_sbi_bluechip.csv with shape (3252, 8)
2026-06-24 09:06:05,383 | INFO | data_ingestion | Anomaly scan for 120503_icici_bluechip.csv: ['some NAV values are non-positive']
2026-06-24 09:06:05,383 | INFO | data_ingestion | Processed 120503_icici_bluechip.csv with shape (3323, 8)
2026-06-24 09:06:05,413 | INFO | data_ingestion | Anomaly scan for 120841_kotak_bluechip.csv: ['no obvious anomalies detected']
2026-06-24 09:06:05,413 | INFO | data_ingestion | Processed 120841_kotak_bluechip.csv with shape (3317, 8)
2026-06-24 09:06:05,447 | INFO | data_ingestion | Anomaly scan for 125497_hdfc_top_100_direct.csv: ['no obvious anomalies detected']
2026-06-24 09:06:05,447 | INFO | data_ingestion | Processed 125497_hdfc_top_100_direct.csv with shape (3107, 8)
2026-06-24 09:06:05,556 | INFO | data_ingestion | Anomaly scan for nav_history.csv: ['some NAV values are non-positive']
2026-06-24 09:06:05,556 | INFO | data_ingestion | Processed nav_history.csv with shape (19894, 8)
2026-06-24 09:06:05,557 | INFO | data_ingestion | Completed CSV ingestion for 7 file(s).
